odi:DeckCard,odi:hasName,odi:hasVariantNameInTheText,odi:hasSuit,odi:hasTypology,odi:isNumber,odi:hasCurrentLocation,odi:hasCondition,odi:hasImage,odi:hasAuthor,odi:isContainedIn
il-matto,Il Matto,Il Matto,,Trionfo,Nessuno,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
il-bagatto,Il Bagatto,Il Bagatto,,Trionfo,I,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
la-papessa,La Papessa,,,Trionfo,II,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
la-imepratrice,L'Imperatrice,,,Trionfo,III,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
lo-imperatore,L'Imperatore,,,Trionfo,IIII,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
il-papa,Il Papa,,,Trionfo,V,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
lo-amore,L'Innamorato,"L'Amoroso, Gli Amanti",,Trionfo,VI,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
il-carro,Il Carro,,,Trionfo,VII,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
la-giustizia,La Giustizia,,,Trionfo,VIII,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
lo-eremita,L'Eremita,,,Trionfo,VIIII,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
la-ruota-della-fortuna,La Ruota della Fortuna,"La Ruota ",,Trionfo,X,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
la-forza,La Forza,,,Trionfo,XI,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
il-penduto,L'Appeso,,,Trionfo,XII,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
la-morte,La Morte,,,Trionfo,XIII,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
la-temperanza,La Temperanza,,,Trionfo,XIIII,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
il-diavolo,Il Diavolo,,,Trionfo,XV,Yale University Library,Presente,https://collections.library.yale.edu/catalog/10991686,Paul Marteau,mazzo-la-taverna-dei-destini-incrociati
