odi:Representation,rdf:type,meaningLabel,odi:hasTextualReference
cavaliere-di-coppe-storiaUno-protagonista,Character,Protagonista,"""«nella faccia, ansiosa, a occhi sgranati, coi capelli lunghi che gli scendono sulle spalle, diventati bianchi»"""
otto-di-coppe-storiaUno-banchetto-di-nozze,Event,Banchetto di nozze,«un accaldato banchetto» / «la festa delle proprie nozze»
dieci-di-bastoni-storiaUno-bosco,FictionalPlace,Bosco,"""«prendere aria nel bosco» / «farsi uccel di bosco»"""
lo-amore-storiaUno-pena-di-cuore,Event,Pena di cuore,"""«una pena di cuore» / «forse ci sono due donne nella sua vita, e lui non sa scegliere»"""
il-carro-storiaUno-viaggio,Event,Viaggio,"""«poteva liberarlo solo un viaggio» / «i due cavalli tirano il pomposo veicolo per le vie accidentate del bosco»"""
due-di-bastoni-storiaUno-incrocio,Symbol,Necessità di una scelta,"""«l'incrocio di due strade»"""
fante-di-denari-storiaUno-protagonista,Character,Protagonista,"""«il giovane mentre butta in aria una moneta»"""
asso-di-denari-storiaUno-moneta-testa,Symbol,Lancio della moneta (testa),"""«testa o croce?» / «la moneta rotola rotola e resta dritta in un cespuglio»"""
cinque-di-bastoni-storiaUno-moneta-croce,Symbol,Lancio della moneta (croce),"""«testa o croce?»"""
asso-di-bastoni-storiaUno-tronco,InanimateObject,Tronco,"""«il tronco nodoso»"""
il-sole-storiaUno-due-bambini,Character,Due bambini,"""«con raggi pungenti che fanno brillare di tutti i colori le foglie controluce» / «due monelli» / «due gemelli: uguali identici, scalzi, biondi biondi»"""
asso-di-coppe-storiaUno-città-del-tutto,FictionalPlace,Città del Tutto,"""«una città con tante torri e guglie e minareti e cupole che sporgono fuori dalle mura» / «questa città sembra in equilibrio in cima a una piramide [...] la vetta del grande albero» / «città sospesa sui rami più alti come un nido d'uccelli» / «È la Città del Tutto? È la città dove tutte le parti si congiungono»"""
la-imperatrice-storiaUno-angelo-coronato,Character,Angelo coronato,"""«un personaggio dagli attributi regali, divinità in trono o angelo coronato»"""
due-di-coppe-storiaUno-due-pozzi,InanimateObject,Due pozzi,"""«due pozzi uguali»"""
la-giustizia-storiaUno-angelo-coronato,Character,Angelo che veglia sulle decisioni e gli equilibri,"""«la potenza coronata ora brandisce una bilancia e una spada» / «angelo che veglia sulle decisioni e gli equilibri, dall'alto della costellazione della Libra»"""
regina-di-spade-storiaUno-donna,Character,Donna della scelta mancata,"""«due Regine affacciate a due balconi» / «impugnano ciascuna una spada sguainata, l'una con la destra» / «la via delle passioni»"""
regina-di-coppe-storiaUno-donna,Character,Donna della scelta mancata,"""«due Regine affacciate a due balconi» / «impugnano ciascuna una spada sguainata, [...] l'altra – certo per simmetria – con la sinistra» / «la via della speranza»"""
cinque-di-coppe-storiaUno-pozzi,Symbol,Destini intercambiabili,"""«ogni tarocco e ogni pozzo sono uguali [...] come i destini ti si squadernano davanti intercambiabili»"""
la-stella-storiaUno-dea-nuda,Symbol,Il mare che disseta,"""«una dea nuda prende due caraffe che contengono chissà quali succhi messi in fresco per chi ha sete»"""
la-luna-storiaUno-cataclisma,Event,Cataclisma,"""«un cataclisma, il sollevarsi del livello degli oceani verso le città abbandonate»"""
la-torre-storiaUno-mura-diroccate,InanimateObject,Mura diroccate,"""«diroccando ogni mura e torre della città sospesa»"""
il-diavolo-storiaUno-diavolo,Character,Diavolo,"""«l'angelo che abita nel punto in cui le linee si biforcano»"""
il-penduto-storiaUno-protagonista,Character,Protagonista,"""«Appeso per i piedi ai sargassi che galleggiano a mezz'acqua sotto la superficie opaca dell'oceano»"""
il-mondo-storiaUno-catena-di-mutazioni,Symbol,Superamento della limitazione individuale,"""«la sola cosa che lui voleva era uscire dalla limitazione individuale [...], ecco la via»"""
la-ruota-della-fortuna-storiUno-giro-della-ruota,Symbol,"Ciclo evolutivo della vita ","""«il grande giro della Ruota in cui evolve la vita animale e di cui non puoi mai dire qual è l'alto e quale il basso»"""
il-giudizio-storiaUno-disfacimento-finale,Event,Terremoto finale (fine del mondo),"""«la discesa fino al centro della terra nelle colate degli elementi, [...] cataclismi che rimescolano il mazzo dei tarocchi e riportano alla luce gli strati sepolti»"""
sei-di-spade-storiaUno-spade-che-sminuzzano,Event,Scomposizione del sé,"""«sminuzzato [...] nei suoi elementi primi»"""
sette-di-coppe-storiaUno-crateri-vulcani,InanimateObject,Crateri dei vulcani,"""«era passato per i crateri dei vulcani [...] attraverso tutte le ere della terra»"""
nove-di-denari-storiaUno-cristalli,InanimateObject,Cristalli,"""«immobilità definitiva dei cristalli»"""
sei-di-bastoni-storiaUno-bosco,FictionalPlace,Bosco,"""«lancinante germogliare del bosco»"""
cavaliere-di-denari-storiaUno-protagonista,Character,Protagonista,"""«la propria identica forma umana» / «Ma è davvero lui o non piuttosto un suo sosia?»"""
regina-di-bastoni-storiaDue-protagonista,"Character ","Protagonista ","""«una gigantesca giovinetta» / nelle sode fattezze campagnole, incorniciate dai rigopgliosi capelli canuti, e nel portamento brusco«»"""
